entry,name,substrates,products
R08347,Demethylcitalopram:oxygen oxidoreductase(deaminating)(flavin-containing),C16608; C00007; C00001,C16612; C00218; C00027
R08348,didemethylcitalopram:oxygen oxidoreductase(deaminating)(flavin-containing),C16609; C00001; C00007,C16612; C00014; C00027
R11354,RCH2NHR':oxygen oxidoreductase (deaminating),C21299; C00001; C00007,C00071; C21300; C00027
R00277,Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating),C00647; C00001; C00007,C00018; C00014; C00027
R00278,Pyridoxine 5-phosphate:oxygen oxidoreductase,C00627; C00007,C00027; C00018
R01710,Pyridoxamine:oxygen oxidoreductase (deaminating),C00534; C00001; C00007,C00250; C00014; C00027
R01711,pyridoxine:oxygen oxidoreductase (deaminating),C00314; C00007,C00250; C00027
R00279,D-Glutamate:oxygen oxidoreductase (deaminating),C00217; C00001; C00007,C00026; C00014; C00027
R06124,alpha-Amino acid + H2O + Oxygen <=> 2-Oxo acid + Ammonia + Hydrogen peroxide,C05167; C00001; C00007,C00161; C00014; C00027
R01469,Ethanolamine:oxygen oxidoreductase (deaminating),C00189; C00001; C00007,C00266; C00014; C00027
R01221,glycine synthase;,C00037; C00101; C00003,C00143; C00014; C00011; C00004; C00080
R03425,glycine:lipoylprotein oxidoreductase (decarboxylating and acceptor-aminomethylating),C00037; C02051,C01242; C00011
R01374,D-phenylalanine:quinone oxidoreductase (deaminating),C02265; C00001; C15602,C00166; C00014; C15603
R09493,D-amino acid:quinone oxidoreductase (deaminating),C00405; C00001; C15602,C00161; C00014; C15603
R00021,L-glutamate:ferredoxin oxidoreductase (transaminating),C00025; C00139,C00064; C00026; C00138; C00080
R00256,L-glutamine amidohydrolase,C00064; C00001,C00025; C00014
R10086,L-glutamate:ferredoxin oxidoreductase (deaminating),C00025; C00139; C00001,C00014; C00026; C00138; C00080
R00606,methylamine:amicyanin oxidoreductase (deaminating),C00218; C00001; C19671,C00067; C00014; C19672; C00080
R02382,Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing),C00483; C00001; C00007,C03765; C00014; C00027
R02612,Phenethylamine:(acceptor) oxidoreductase (deaminating),C05332; C00001; C00028,C00601; C00014; C00030
R04300,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",C03758; C00001; C00007,C04043; C00014; C00027
R07167,taurine:(acceptor) oxidoreductase (deaminating),C00245; C00001; C00028,C00593; C00014; C00030
R00374,glycine:acceptor oxidoreductase (cyanide-forming),C00037; C00028,C00177; C00011; C00030; C00080
R05704,glycine:acceptor oxidoreductase (hydrogen-cyanide-forming),C00037; C00028,C01326; C00011; C00030
R01342,D-Amino-acid:(acceptor) oxidoreductase (deaminating),C05167; C00001; C00028,C00161; C00014; C00030
R07166,D-amino-acid:(acceptor) oxidoreductase (deaminating),C00405; C00001; C00028,C00161; C00014; C00030
R11016,D-Arginine + Acceptor <=> Iminoarginine + Reduced acceptor,C00792; C00028,C21026; C00030
R11017,Iminoarginine + H2O <=> 5-Guanidino-2-oxopentanoate + Ammonia,C21026; C00001,C03771; C00014
R11018,D-arginine:acceptor oxidoreductase (deaminating),C00792; C00028; C00001,C03771; C00014; C00030
R08486,Harmaline <=> Tetrahydroharmine,C06536,C09243
R10507,L-proline:(acceptor) oxidoreductase,C00148; C00016,C03912; C01352
R01937,2-Oxoadipate + Ammonia + NAD+ <=> 2-Aminomuconate + NADH + H+ + H2O,C00322; C00014; C00003,C02220; C00004; C00080; C00001
R01938,2-Oxoadipate + Ammonia + NADP+ <=> 2-Aminomuconate + NADPH + H+ + H2O,C00322; C00014; C00006,C02220; C00005; C00080; C00001
R05705,FMNH2:NAD+ oxidoreductase,C01847; C00003,C00061; C00004; C00080
R05706,FMNH2:NADP+ oxidoreductase,C01847; C00006,C00061; C00005; C00080
R08059,"5,10-Methylenetetrahydromethanopterin + NADP+ <=> 5,10-Methenyltetrahydromethanopterin + NADPH",C04377; C00006,C04330; C00005
R08510,gamma-Coniceine + NADPH + H+ <=> Coniine + NADP+,C10138; C00005; C00080,C06523; C00006
R01246,L-proline:NAD+ 2-oxidoreductase,C00148; C00003,C03564; C00004; C00080
R01249,L-proline:NADP+ 2-oxidoreductase,C00148; C00006,C03564; C00005; C00080
R02201,L-pipecolate:NAD+ 2-oxidoreductase,C00408; C00003,C04092; C00004; C00080
R02203,L-pipecolate:NADP+ 2-oxidoreductase,C00408; C00006,C04092; C00005; C00080
R02315,"N6-(L-1,3-Dicarboxypropyl)-L-lysine:NADP+ oxidoreductase",C00449; C00006; C00001,C00025; C04076; C00005; C00080
R00562,N2-(D-1-carboxyethyl)-L-arginine:NAD+ oxidoreductase (L-arginine-forming),C04137; C00003; C00001,C00062; C00022; C00004; C00080
R01218,"5,10-methylenetetrahydrofolate:NAD+ oxidoreductase",C00143; C00003,C00445; C00004
R00452,N2-(D-1-carboxylethyl)-L-lysine:NADP+ oxidoreductase (L-lysine-forming),C04020; C00006; C00001,C00047; C00022; C00005; C00080
R00398,"2,2'-iminodipropanoate:NAD+ oxidoreductase (L-alanine-forming)",C03210; C00003; C00001,C00041; C00022; C00004; C00080
R03614,(-)-Ephedrine:NAD+ 2-oxidoreductase,C01575; C00003,C04351; C00004; C00080
R00563,"N2-(D-1,3-dicarboxypropyl)-L-arginine:NADP+ oxidoreductase (L-arginine-forming);",C01682; C00006; C00001,C00062; C00026; C00005; C00080
R01248,L-Proline:NAD+ 5-oxidoreductase,C00148; C00003,C03912; C00004; C00080
R01251,L-Proline:NADP+ 5-oxidoreductase,C00148; C00006,C03912; C00005; C00080
R03291,trans-4-Hydroxy-L-proline:NAD+ 5-oxidoreductase,C01157; C00003,C04281; C00004; C00080
R03293,trans-4-Hydroxy-L-proline:NADP+ 5-oxidoreductase,C01157; C00006,C04281; C00005; C00080
R01224,5-methyltetrahydrofolate:NADP+ oxidoreductase,C00440; C00006,C00143; C00005; C00080
R07168,5-methyltetrahydrofolate:NAD+ oxidoreductase,C00440; C00003,C00143; C00004; C00080
R01249,L-proline:NADP+ 2-oxidoreductase,C00148; C00006,C03564; C00005; C00080
R02203,L-pipecolate:NADP+ 2-oxidoreductase,C00408; C00006,C04092; C00005; C00080
R00368,N-(carboxymethyl)-D-alanine:NAD+ oxidoreductase (glycine-forming),C03790; C00003; C00001,C00037; C00022; C00004; C00080
R01683,tauropine:NAD+ oxidoreductase (taurine-forming),C01616; C00003; C00001,C00245; C00022; C00004; C00080
R00666,N5-(L-1-carboxyethyl)-L-ornithine:NADP+ oxidoreductase (L-ornithine-forming),C04210; C00006; C00001,C00077; C00022; C00005; C00080
R04339,"thiomorpholine-3-carboxylate:NAD+ 5,6-oxidoreductase",C03901; C00003,C04445; C00004; C00080
R04340,"thiomorpholine-3-carboxylate:NADP+ 5,6-oxidoreductase",C03901; C00006,C04445; C00005; C00080
R00906,N-(D-1-carboxyethyl)-beta-alanine:NAD+ oxidoreductase (beta-alanine-forming),C02207; C00003; C00001,C00099; C00022; C00004; C00080
R04695,(R)-reticuline:NADP+ oxidoreductase,C05178; C00006,C06167; C00005
R03732,"(2S)-2-{[1-(R)-carboxyethyl]amino}pentanoate dehydrogenase (NAD+, L-aminopentanoate-forming)",C06326; C00003; C00001,C01826; C00022; C00004; C00080
R00936,"5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase",C00101; C00003,C00415; C00004; C00080
R00937,"5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase",C00101; C00003,C00504; C00004; C00080
R00939,"5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase",C00101; C00006,C00415; C00005; C00080
R00940,"5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase",C00101; C00006,C00504; C00005; C00080
R02235,dihydrofolate:NAD+ oxidoreductase,C00415; C00003,C00504; C00004; C00080
R02236,dihydrofolate:NADP+ oxidoreductase,C00415; C00006,C00504; C00005; C00080
R11765,"tetrahydrobiopterin:NADP+ oxidoreductase (7,8-dihydrobiopterin-forming)",C00272; C00006,C02953; C00005; C00080
R05707,reduced-riboflavin:NADP+ oxidoreductase,C01007; C00006,C00255; C00005; C00080
R09520,FADH2:NADP+ oxidoreductase,C00016; C00005; C00080,C01352; C00006
R07169,(R)-tetrahydroberberine:NADP+ oxidoreductase,C11818; C00006,C00757; C00005; C00080
R05878,"1,2-dihydrovomilenine:NADP+ oxidoreductase",C11808; C00006,C01761; C00005; C00080
R01812,"5,6,7,8-Tetrahydrobiopterin:NADP+ oxidoreductase",C00272; C00006,C06313; C00005; C00080
R01793,"5,6,7,8-tetrahydrobiopterin:NAD+ oxidoreductase",C00268; C00004; C00080,C00272; C00003
R01794,"5,6,7,8-tetrahydrobiopterin:NADP+ oxidoreductase",C00268; C00005; C00080,C00272; C00006
R07354,"5,6,7,8-tetrahydropteridine:NAD+ oxidoreductase",C05650; C00003,C05649; C00004; C00080
R07355,"5,6,7,8-tetrahydropteridine:NADP+ oxidoreductase",C05650; C00006,C05649; C00005; C00080
R05705,FMNH2:NAD+ oxidoreductase,C01847; C00003,C00061; C00004; C00080
R09662,flavin:NAD+ oxidoreductase,C19790; C00003,C00176; C00004; C00080
R09748,FADH2:NAD+ oxidoreductase,C01352; C00003,C00016; C00004; C00080
R09750,reduced-riboflavin:NAD+ oxidoreductase,C01007; C00003,C00255; C00004; C00080
R09748,FADH2:NAD+ oxidoreductase,C01352; C00003,C00016; C00004; C00080
R05706,FMNH2:NADP+ oxidoreductase,C01847; C00006,C00061; C00005; C00080
R05705,FMNH2:NAD+ oxidoreductase,C01847; C00003,C00061; C00004; C00080
R05706,FMNH2:NADP+ oxidoreductase,C01847; C00006,C00061; C00005; C00080
R09749,reduced coenzyme F420:NADP+ oxidoreductase,C01080; C00006,C00876; C00005; C00080
R05705,FMNH2:NAD+ oxidoreductase,C01847; C00003,C00061; C00004; C00080
R05707,reduced-riboflavin:NADP+ oxidoreductase,C01007; C00006,C00255; C00005; C00080
R09750,reduced-riboflavin:NAD+ oxidoreductase,C01007; C00003,C00255; C00004; C00080
R05705,FMNH2:NAD+ oxidoreductase,C01847; C00003,C00061; C00004; C00080
R09079,carboxyspermidine:NADP+ oxidoreductase,C00134; C00441; C00005; C00080,C18172; C00001; C00006
R09080,carboxynorspermidine:NADP+ oxidoreductase,C00986; C00441; C00005; C00080,C18174; C00001; C00006
R10163,festuclavine:NAD+ oxidoreductase,C20408; C00003,C20409; C00004; C00080
R09520,FADH2:NADP+ oxidoreductase,C00016; C00005; C00080,C01352; C00006
R09748,FADH2:NAD+ oxidoreductase,C01352; C00003,C00016; C00004; C00080
R10229,agroclavine:NADP+ oxidoreductase,C09023; C00006,C20457; C00005; C00080
R03388,"5,6,7,8-tetrahydromethanopterin 5,6-oxidoreductase",C01217; C00006,C05927; C00080; C00005
R10332,"5,6,7,8-tetrahydromethanopterin 5,6-oxidoreductase",C01217; C00003,C05927; C00004; C00080
R10730,(R)-2-methylpyrrolidine:NADP+ 2-oxidoreductase,C20809; C00006,C20808; C00005; C00080
R01246,L-proline:NAD+ 2-oxidoreductase,C00148; C00003,C03564; C00004; C00080
R01249,L-proline:NADP+ 2-oxidoreductase,C00148; C00006,C03564; C00005; C00080
R01220,"5,10-methylenetetrahydrofolate:NADP+ oxidoreductase",C00143; C00006,C00445; C00005
R11019,"5,6,7,8-tetrahydromonapterin:NADP+ oxidoreductase",C21007; C00006,C21008; C00005; C00080
R11655,"N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate:NAD+ dehydrogenase (L-2,3-diaminopropanoate-forming)",C21559; C00003; C00001,C00026; C03401; C00004; C00080
R12237,staphylopine:NADP+ oxidoreductase [(2S)-2-amino-4-{[(1R)-1-carboxy-2-(1H-imidazol-4-yl)ethyl]amino}butanoate]-forming,C22024; C00006; C00001,C22025; C00022; C00005; C00080
R00941,10-formyltetrahydrofolate:NADP+ oxidoreductase,C00234; C00006; C00001,C00101; C00011; C00005; C00080
R00715,"N6-(L-1,3-Dicarboxypropyl)-L-lysine:NAD+ oxidoreductase (L-lysine-forming)",C00449; C00003; C00001,C00047; C00026; C00004; C00080
R00716,"N6-(L-1,3-Dicarboxypropyl)-L-lysine:NADP+ oxidoreductase (L-lysine-forming)",C00449; C00006; C00001,C00047; C00026; C00005; C00080
R02313,"N6-(L-1,3-Dicarboxypropyl)-L-lysine:NAD+ oxidoreductase;",C00449; C00003; C00001,C00025; C04076; C00004; C00080
R08702,tRNA containing 5-carboxymethylaminomethyl-2-thiouridine:oxygen oxidoreductase,C17323; C00007; C00001,C11478; C00048; C00027
R11175,"(R,S)-Nicotine + Oxygen <=> N-Methylmyosmine + Hydrogen peroxide",C16150; C00007,C21154; C00027
R11176,N-Methylmyosmine + H2O <=> Pseudooxynicotine,C21154; C00001,C20361
R11177,nicotine oxidoreductase,C16150; C00001; C00007,C20361; C00027
R00610,sarcosine:oxygen oxidoreductase (demethylating),C00213; C00001; C00007,C00037; C00067; C00027
R01564,"N,N-Dimethylglycine:oxygen oxidoreductase (demethylating)",C01026; C00001; C00007,C00213; C00067; C00027
R04703,Dihydrosanguinarine:oxygen oxidoreductase,C05191; C00007; C00080,C06162; C00027
R04706,Dihydrochelirubine:oxygen oxidoreductase,C05194; C00007; C00080,C06327; C00027
R04768,dihydromacarpine:oxygen oxidoreductase,C05316; C00007; C00080,C06165; C00027
R03899,N1-acetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming),C02567; C00007; C00001,C00315; C18170; C00027
R09074,N1-acetylspermidine:oxygen oxidoreductase (3-acetamidopropanal-forming),C00612; C00007; C00001,C00134; C18170; C00027
R01914,spermidine:(acceptor) oxidoreductase,C00315; C00007; C00001,C00986; C00555; C00027
R09075,"N8-acetylspermidine:oxygen oxidoreductase (propane-1,3-diamine-forming)",C01029; C00007; C00001,C00986; C05936; C00027
R09076,spermidine:oxygen oxidoreductase (spermidine-forming),C00750; C00007; C00001,C00315; C05665; C00027
R03899,N1-acetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming),C02567; C00007; C00001,C00315; C18170; C00027
R09074,N1-acetylspermidine:oxygen oxidoreductase (3-acetamidopropanal-forming),C00612; C00007; C00001,C00134; C18170; C00027
R09076,spermidine:oxygen oxidoreductase (spermidine-forming),C00750; C00007; C00001,C00315; C05665; C00027
R09077,spermidine:oxygen oxidoreductase (3-aminopropanal-forming),C00315; C00007; C00001,C00134; C05665; C00027
R09495,L-saccharopine:oxygen oxidoreductase (L-glutamate forming),C00449; C00001; C00007,C04076; C00025; C00027
R10102,4-methylaminobutanoate:oxygen oxidoreductase (formaldehyde-forming);,C15987; C00007; C00001,C00334; C00067; C00027
R01264,N-Methyl-L-amino-acid:oxygen oxidoreductase (demethylating),C03148; C00001; C00007,C00151; C00067; C00027
R10101,4-methylaminobutanoate methylamidohydrolase;,C15987; C00007; C00001,C00232; C00218; C00027
R10602,reduced coenzyme F420:oxygen oxidoreductase,C01080; C00007,C00876; C00001
R11486,2 Glyphosate + Oxygen <=> 2 1-Aminomethylphosphonic acid + 2 Glyoxylate,C01705; C00007,C11033; C00048
R00612,N6-Methyl-L-lysine:oxygen oxidoreductase (demethylating),C02728; C00001; C00007,C00047; C00067; C00027
R03202,(S)-6-hydroxynicotine:oxygen oxidoreductase,C01056; C00001; C00007,C01297; C00027
R11048,"(S)-6-Hydroxynicotine + Oxygen <=> 5-(N-Methyl-4,5-dihydro-1H-pyrrol-2-yl)pyridin-2-ol + Hydrogen peroxide",C01056; C00007,C21075; C00027
R11049,"5-(N-Methyl-4,5-dihydro-1H-pyrrol-2-yl)pyridin-2-ol + H2O <=> 6-Hydroxypseudooxynicotine",C21075; C00001,C01297
R07170,(R)-6-hydroxynicotine:oxygen oxidoreductase,C03043; C00001; C00007,C01297; C00027
R11049,"5-(N-Methyl-4,5-dihydro-1H-pyrrol-2-yl)pyridin-2-ol + H2O <=> 6-Hydroxypseudooxynicotine",C21075; C00001,C01297
R11050,"(R)-6-Hydroxynicotine + Oxygen <=> 5-(N-Methyl-4,5-dihydro-1H-pyrrol-2-yl)pyridin-2-ol + Hydrogen peroxide",C03043; C00007,C21075; C00027
R02204,"L-Pipecolate:oxygen 1,6-oxidoreductase",C00408; C00007,C00450; C00027
R03984,"pyrimidodiazepine:glutathione-disulfide oxidoreductase (ring-opening, cyclizing)",C02587; C00127; C00001,C03684; C00051
R04433,Electron-transferring-flavoprotein:ubiquinone oxidoreductase,C04570; C00399,C04253; C00390
R01253,L-proline:quinone oxidoreductase,C00148; C15602,C03912; C15603
R03295,trans-4-hydroxy-L-proline:quinone oxidoreductase,C01157; C15602,C04281; C15603
R01217,5-methyltetrahydrofolate:ferredoxin oxidoreductase,C00143; C00138; C00080,C00440; C00139
R10603,coenzyme F420:ferredoxin oxidoreductase,C01080; C00139,C00876; C00138; C00080
R01588,dimethylamine:electron-transferring flavoprotein oxidoreductase,C00543; C00001; C04253,C00218; C00067; C04570
R02511,trimethylamine:electron-transferring flavoprotein oxidoreductase(demethylating),C00565; C00001; C04253,C00543; C00067; C04570
R00611,sarcosine:electron-transfer flavoprotein oxidoreductase (demethylating),C00213; C04253; C00001,C00037; C00067; C04570
R01565,"N,N-dimethylglycine,5,6,7,8-tetrahydrofolate:electron-transferflavoprotein oxidoreductase (demethylating,5,10-methylenetetrahydrofolate-forming)",C01026; C00101; C04253,C00213; C00143; C04570
R04456,"5,10-methylenetetrahydromethanopterin:coenzyme-F420 oxidoreductase",C04377; C00876; C00080,C04330; C01080
R04464,"5,10-Methylenetetrahydromethanopterin:coenzyme-F420 oxidoreductase",C04377; C01080,C04488; C00876
R11874,reduced coenzyme F420:methanophenazine oxidoreductase,C01080; C11903,C00876; C11904
R11179,3-Succinoylpyridine + H2O + Acceptor <=> 6-Hydroxy-3-succinoylpyridine + Reduced acceptor,C19569; C00001; C00028,C19631; C00030
R11428,cis-4-hydroxy-D-proline:acceptor oxidoreductase,C03440; C00028,C04282; C00030
R05708,N6-dimethylallyladenine:(acceptor) oxidoreductase,C04083; C00001; C00028,C00147; C07330; C00030
R09496,D-proline:acceptor oxidoreductase,C00763; C00028,C03564; C00030
R07514,6-hydroxypseudooxynicotinemonooxygenase,C01297; C00028; C00001,C15986; C00030
R10802,"5,6,7,8-tetrahydromethanopterin:acceptor 5,6-oxidoreductase",C01217; C00028,C05927; C00030
R02205,"L-Pipecolate:(acceptor) 1,6-oxidoreductase",C00408; C00016,C01352; C00450
R02206,"L-Pipecolate:(acceptor) 1,6-oxidoreductase",C00408; C00028,C00450; C00030
R02860,nicotine:(acceptor) 6-oxidoreductase (hydroxylating),C16150; C00028; C00001,C01056; C00030
R07946,"(R,S)-Nicotine + Acceptor + H2O <=> (R)-6-Hydroxynicotine + Reduced acceptor",C16150; C00028; C00001,C03043; C00030
R00609,N-methyl-L-glutamate:acceptor oxidoreductase (demethylating),C01046; C00028; C00001,C00025; C00067; C00030
R01914,spermidine:(acceptor) oxidoreductase,C00315; C00007; C00001,C00986; C00555; C00027
R01915,Spermidine:(acceptor) oxidoreductase,C00315; C00028; C00001,C00986; C00555; C00030
R09218,"Pyrene-4,5-dione <=> Phenanthrene-4,5-dicarboxylate",C18251,C18252
R00112,NADPH:NAD+ oxidoreductase,C00005; C00003,C00006; C00004
R00112,NADPH:NAD+ oxidoreductase,C00005; C00003,C00006; C00004
R00112,NADPH:NAD+ oxidoreductase,C00005; C00003,C00006; C00004
R00100,NADH:ferricytochrome-b5 oxidoreductase,C00004; C00996,C00003; C00999; C00080
R00106,NADPH:ferricytochrome oxidoreductase,C00005; C00923,C00006; C00924; C00080
R05102,NADPH:cytochrome-P-450 oxidoreductase,C06109; C00005,C06110; C00006; C00080
R08539,NADPH:ferricytochrome-b5 oxidoreductase,C00005; C00996,C00006; C00999
R08551,cytochrome P-450 reductase,C03161; C00005; C00080,C03024; C00006
R00108,NADPH:ferricytochrome-c2 oxidoreductase,C00005; C00997,C00006; C01000; C00080
R00101,NADH:ferrileghemoglobin oxidoreductase,C00004; C02683,C00003; C02685; C00080
R00109,NADPH:ferrileghemoglobin oxidoreductase,C00005; C02683,C00006; C02685; C00080
R07171,NADH:oxygen oxidoreductase,C00004; C00080; C00007,C00003; C00027
R07172,NADPH:oxygen oxidoreductase,C00005; C00080; C00007,C00006; C00027
R10517,NADH:oxygen oxidoreductase (H2O-forming),C00004; C00080; C00007,C00003; C00001
R10518,NADPH:oxygen oxidoreductase (H2O-forming),C00005; C00080; C00007,C00006; C00001
R07171,NADH:oxygen oxidoreductase,C00004; C00080; C00007,C00003; C00027
R10517,NADH:oxygen oxidoreductase (H2O-forming),C00004; C00080; C00007,C00003; C00001
R10635,"NADH:oxygen oxidoreductase (H2O2-forming, epimerising)",C20744; C00080; C00007,C00003; C00027
R10636,"NADPH:oxygen oxidoreductase (H2O2-forming, epimerising)",C20745; C00080; C00007,C00006; C00027
R11504,"1,2-dihydro-beta-NAD:oxygen oxidoreductase (H2O2-forming)",C21423; C00080; C00007,C00003; C00027
R11505,"1,6-dihydro-beta-NAD:oxygen oxidoreductase (H2O2-forming)",C21424; C00080; C00007,C00003; C00027
R09219,"Pyrene-4,5-dione + NADH + H+ <=> 4,5-Dihydroxypyrene + NAD+",C18251; C00004; C00080,C18250; C00003
R07359,NADPH:quinone oxidoreductase,C00005; C00080; C15602,C00006; C15603
R07358,NADH:quinone oxidoreductase,C00004; C00080; C15602,C00003; C15603
R11061,NADPH:demethylphylloquinone oxidoreductase,C13309; C00005; C00080,C21084; C00006
R02964,NADH:menaquinone oxidoreductase,C00828; C00080; C00004,C05819; C00003
R03643,NADH:(quinone-acceptor) oxidoreductase,C01628; C00004; C00080,C05850; C00003
R03816,NADH:phylloquinone oxidoreductase,C02059; C00004; C00080,C03313; C00003
R07358,NADH:quinone oxidoreductase,C00004; C00080; C15602,C00003; C15603
R07359,NADPH:quinone oxidoreductase,C00005; C00080; C15602,C00006; C15603
R00095,NADH:monodehydroascorbate oxidoreductase,C00003; C00072,C00004; C01041; C00080
R02364,NADPH2:quinone oxidoreductase,C15602; C00005; C00080,C05309; C00006
R05244,NADPH:p-benzoquinone oxidoreductase,C00472; C00005; C00080,C00530; C00006
R05399,"NADH:2-hydroxy-1,4-benzoquinone oxidoreductase",C07103; C00004; C00080,C02814; C00003
R02163,NADH:ubiquinone oxidoreductase,C00390; C00003,C00399; C00004; C00080
R00282,NADPH:acceptor oxidoreductase,C00028; C00005; C00080,C00030; C00006
R00281,NADH:acceptor oxidoreductase,C00028; C00004; C00080,C00030; C00003
R05277,4-Aminobenzenesulfonate + 4-Aminobenzoate <=> 4-Carboxy-4'-sulfoazobenzene + 4 H+,C06335; C00568,C06673; C00080
R07727,o-Nitrobenzoate + 2 NADPH + 2 H+ <=> o-Hydroxylaminobenzoate + 2 NADP+ + H2O,C16234; C00005; C00080,C16235; C00006; C00001
R08015,"4-Hydroxylamino-2,6-dinitrotoluene + 2 NADPH + 2 H+ <=> 2,4-Dihydroxylamino-6-nitrotoluene + 2 NADP+ + H2O",C16392; C00005; C00080,C16402; C00006; C00001
R08016,"2,4-Dihydroxylamino-6-nitrotoluene + NADPH + H+ <=> 4-Amino-2-hydroxylamino-6-nitrotoluene + NADP+ + H2O",C16402; C00005; C00080,C16403; C00006; C00001
R08018,"4-Hydroxylamino-2,6-dinitrotoluene + NADH + H+ <=> 4-Amino-2,6-dinitrotoluene + NAD+ + H2O",C16392; C00004; C00080,C16394; C00003; C00001
R08019,"4-Hydroxylamino-2,6-dinitrotoluene + NADPH + H+ <=> 4-Amino-2,6-dinitrotoluene + NADP+ + H2O",C16392; C00005; C00080,C16394; C00006; C00001
R08043,"2-Hydroxylamino-4,6-dinitrotoluene + NADH + H+ <=> 2-Amino-4,6-dinitrotoluene + NAD+ + H2O",C16393; C00004; C00080,C16395; C00003; C00001
R08044,"2-Amino-4,6-dinitrotoluene + 3 NADH + 3 H+ <=> 2,6-Diamino-4-nitrotoluene + 3 NAD+ + 2 H2O",C16395; C00004; C00080,C16397; C00003; C00001
R08045,"2-Amino-4,6-dinitrotoluene + 3 NADH + 3 H+ <=> 2,4-Diamino-6-nitrotoluene + 3 NAD+ + 2 H2O",C16395; C00004; C00080,C16396; C00003; C00001
R08046,"4-Amino-2,6-dinitrotoluene + 3 NADH + 3 H+ <=> 2,4-Diamino-6-nitrotoluene + 3 NAD+ + 2 H2O",C16394; C00004; C00080,C16396; C00003; C00001
R08047,"4-Amino-2,6-dinitrotoluene + 2 NADH + 2 H+ <=> 4-Amino-2-hydroxylamino-6-nitrotoluene + 2 NAD+ + H2O",C16394; C00004; C00080,C16403; C00003; C00001
R09230,"2-Amino-4-nitrotoluene + 3 NADH + 3 H+ <=> 2,4-Diaminotoluene + 3 NAD+ + 2 H2O",C16398; C00004; C00080,C14401; C00003; C00001
R09231,"2,4-Dinitrotoluene + 3 NADH + 3 H+ <=> 2-Amino-4-nitrotoluene + 3 NAD+ + 2 H2O",C11006; C00004; C00080,C16398; C00003; C00001
R09232,"2,4-Dinitrotoluene + 3 NADH + 3 H+ <=> 4-Amino-2-nitrotoluene + 3 NAD+ + 2 H2O",C11006; C00004; C00080,C18320; C00003; C00001
R09235,"4-Amino-2-nitrotoluene + 3 NADH + 3 H+ <=> 2,4-Diaminotoluene + 3 NAD+ + 2 H2O",C18320; C00004; C00080,C14401; C00003; C00001
R09240,"2-Amino-4-nitrotoluene + 3 NADPH + 3 H+ <=> 2,4-Diaminotoluene + 3 NADP+ + 2 H2O",C16398; C00005; C00080,C14401; C00006; C00001
R09241,"2,4-Dinitrotoluene + 3 NADPH + 3 H+ <=> 2-Amino-4-nitrotoluene + 3 NADP+ + 2 H2O",C11006; C00005; C00080,C16398; C00006; C00001
R09242,"2,4-Dinitrotoluene + 3 NADPH + 3 H+ <=> 4-Amino-2-nitrotoluene + 3 NADP+ + 2 H2O",C11006; C00005; C00080,C18320; C00006; C00001
R09243,"4-Amino-2-nitrotoluene + 3 NADPH + 3 H+ <=> 2,4-Diaminotoluene + 3 NADP+ + 2 H2O",C18320; C00005; C00080,C14401; C00006; C00001
R09288,3-hydroxyaminophenol:NAD+ oxidoreductase,C14418; C00004; C00080,C14602; C00003; C00001
R00794,nitrite:NAD+ oxidoreductase;,C00088; C00003; C00001,C00244; C00004; C00080
R00143,ammonia:NAD+ oxidoreductase;,C00014; C00003; C00001,C00192; C00004; C00080
R04303,NADPH:4-(dimethylamino)phenylazoxybenzene oxidoreductase,C03764; C00006; C00001,C04291; C00005; C00080
R04046,NADH:N-hydroxy-2-acetamidofluorene N-oxidoreductase,C02778; C00003; C00001,C03954; C00004; C00080
R04047,NADPH:N-hydroxy-2-acetamidofluorene N-oxidoreductase,C02778; C00006; C00001,C03954; C00005; C00080
R07605,7-aminomethyl-7-carbaguanine:NADP+ oxidoreductase,C16675; C00006,C15996; C00005; C00080
R02492,nitrous-oxide:NAD+ oxidoreductase,C00533; C00004; C00080,C00887; C00003; C00001
R09446,nitrous-oxide:NADP+ oxidoreductase,C00533; C00005; C00080,C00887; C00006; C00001
R09808,Nitric oxide + Azide <=> Nitrous oxide + Nitrogen,C00533; C19935,C00887; C00697
R09809,Nitric oxide + Ammonia <=> Nitrous oxide + H2O,C00533; C00014,C00887; C00001
R00787,ammonia:NAD+ oxidoreductase,C00014; C00003; C00001,C00088; C00004; C00080
R05400,hydroxylaminobenzene:NADP+ oxidoreductase,C06876; C00005; C00080,C02720; C00006
R05401,nitrosobenzene:NADP+ oxidoreductase,C06813; C00005; C00080,C06876; C00006; C00001
R11744,N-phenylhydroxylamine:NADP+ oxidoreductase,C02720; C00006; C00001,C06813; C00005; C00080
R12035,"N,N-dimethyl-1,4-phenylenediamine, anthranilate:NAD+ oxidoreductase",C00108; C04203; C00003,C19459; C00004; C00080
